,Ticker,Exchange,Name,Clean_Name
430,ACKB,ENXB , Ackermans & Van Haaren, Ackermans & Van Haaren
431,ATE,ENXP , Alten, Alten
432,AMP,MIL , Amplifon Spa, Amplifon Spa
433,ARGX,ENXB , Argenx Se, Argenx
434,BBY,LDN , Balfour Beatty PLC, Balfour Beatty
435,BION,SIX , BB Biotech Ag, Bb Biotech
436,BB,ENXP , BIC Sa, Bic
437,BUCN,SIX , Bucher Industries Ag, Bucher Industries
438,CAST,OMX , Castellum Ab, Castellum
439,7CD,WARS , Cd Project Red Sa, Cd Project Red
440,COFB,ENXB , Cofinimmo, Cofinimmo
441,DBK,XETR , Deutsche Bank Ag, Deutsche Bank
442,DWNI,XETR , Deutsche Wohnen Se, Deutsche Wohnen
443,EKTA/B,OMX , Elekta Ab, Elekta
444,FABG,OMX , Fabege Ab, Fabege
445,BALDB,OMX , Fastighets Balder Ab, Fastighets Balder
446,FI/N,SIX , Georg Fischer Ag, Georg Fischer
447,HPOLB,OMX , Hexpol Ab, Hexpol
448,HUH1V,HELS , Huhtamaki Oyj, Huhtamaki
449,HUSQB,OMX , Husqvarna Ab, Husqvarna
450,IGG,LDN , IG Group Holdings PLC, Ig Group Holdings
451,IMCD,ENXA , IMCD Group, IMCD Group
452,INDT,OMX , Indutrade Ab, Indutrade
453,INGE,ENXP , Ingenico Group, Ingenico Group
454,COL,ESP , Inmobiliaria Colonial Socimi Sa, Inmobiliaria Colonial Socimi
455,IWG,LDN , IWG Plc, Iwg
456,JUP,LDN , Jupiter Fund Management PLC, Jupiter Fund Management
457,KESKOB,HELS , Kesko Oyj, Kesko
458,KCR,HELS , Konecranes Oyj, Konecranes
459,LPP,WARS , LPP Sa, Lpp
460,LUNDB,OMX , Lundbergforetagen Ab, Lundbergforetagen
461,MONY,LDN , Moneysupermarket Com Group, Moneysupermarket Com Group
462,NIBEB,OMX , Nibe Industrier Ab, Nibe Industrier
463,OERL,SIX , Oc Oerlikon Corporation Ag, Oc Oerlikon Corporation
464,ORNBV,HELS , Orion Corporation, Orion
465,PARG,SIX , Pargesa Holding Sa, Pargesa Holding
466,PSPN,SIX , PSP Swiss Property Ag, Psp Swiss Property
467,ROCKB,OMXC , Rockwool International A/S, Rockwool International
468,RBREW,OMXC , Royal Unibrew A/S, Royal Unibrew
469,RUI,ENXP , Rubis, Rubis
470,SAABB,OMX , Saab Ab, Saab
471,SBMO,ENXA , SBM Offshore Nv, Sbm Offshore
472,SCH,OSLO , Schibsted A, Schibsted A
473,SIM,OMXC , Simcorp A/S, Simcorp
474,STB,OSLO , Storebrand Asa, Storebrand
